Název vysoké školy,Rezortní identifikátor,Název fakulty nebo pracoviště,Název studijního programu,Kód studijního programu,Název studijního oboru,Kód studijního oboru,Počet absolventů v rámci Královéhradeckého kraje za rok 2022,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,B6202,,,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS1,1,1760497.92089432,6482106.98218762
Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,N6202,,,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS2,2,1760497.92089432,6482106.98218762
Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,B6202,Veřejná správa a regionální rozvoj,6202R065,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS3,3,1760497.92089432,6482106.98218762
Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,N6202,Veřejná správa a regionální rozvoj,6202T065,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS4,4,1760497.92089432,6482106.98218762
Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Veřejná správa a regionální rozvoj,B0312A050002,,,44,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS5,5,1760497.92089432,6482106.98218762
Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Veřejná správa a regionální rozvoj,N0312A050002,,,49,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS6,6,1760497.92089432,6482106.98218762
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Anglický jazyk se zaměřením na vzdělávání,B0114A090004,,,1,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS7,7,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Český jazyk a literatura se zaměřením na vzdělávání,B0114A090005,,,1,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS8,8,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Etická výchova se zaměřením na vzdělávání,B0114A300052,,,2,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS9,9,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Filologie,B7310,,,35,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS10,10,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Filologie,P7310,,,1,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS11,11,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Filologie,B7310,Cizí jazyky pro cestovní ruch - anglický jazyk,7310R228,13,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS12,12,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Filologie,B7310,Cizí jazyky pro cestovní ruch - německý jazyk,7310R230,2,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS13,13,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Filologie,B7310,Jazyková a literární kultura,7202R001,20,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS14,14,1761823.68036992,6482639.46982209
Univerzita  Hradec Králové,18440,Pedagogická fakulta,Filologie,P7310,Teorie a dějiny české literatury,8106V004,1,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS15,15,1761823.68036992,6482639.46982209
