název díla;autor;oblast;originální jazyk
1984;George Orwell;Světová literatura 20. a 21. století;chyba
451 stupňů Fahrenheita;Ray Bradbury;Světová literatura 20. a 21. století;chyba
Alkoholy;Guillaume Apollinaire;Světová literatura 20. a 21. století;chyba
Assassinś Creed Tajná křížová výprava;Oliwer Bowden;Světová literatura 20. a 21. století;chyba
Báječná léta pod psa;Michal Viewegh;Česká literatura 20. a 21. století;chyba
Bajky;Ezop;Světová a česká literatura do konce 18. století;neznámý
Balady a romance;Jan Neruda;Světová a česká literatura 19. století;chyba
Biblické příběhy;Ivan Olbracht;Světová a česká literatura do konce 18. století;chyba
Bílá nemoc;Karel Čapek;Česká literatura 20. a 21. století;chyba
Bílý tesák;Jack London;Světová literatura 20. a 21. století;chyba
Blaník;Ladislav Smoljak, Zdeněk Svěrák;Česká literatura 20. a 21. století;chyba
Blues pro bláznivou holku;Václav Hrabě;Česká literatura 20. a 21. století;chyba
Božská komedie;Dante Alighieri;Světová a česká literatura do konce 18. století;chyba
Bylo nás pět;Karel Poláček;Česká literatura 20. a 21. století;chyba
Cesta do středu Země;Jules Verne;Světová a česká literatura 19. století;chyba
Cizinec;Albert Camus;Světová literatura 20. a 21. století;chyba
Co Bůh? Člověk?;Bedřich Bridel;Světová a česká literatura do konce 18. století;chyba
Čas žít, čas umírat;Erich Maria Remarque;Světová literatura 20. a 21. století;chyba
Čekání na Godota;Samuel Beckett;Světová literatura 20. a 21. století;chyba
Dekameron;Giovanni Boccaccio;Světová a česká literatura do konce 18. století;chyba
Den draka;Richard Alen Knaak;Světová literatura 20. a 21. století;chyba
Divá Bára;Božena Němcová;Světová a česká literatura 19. století;chyba
Důmyslný rytíř don Quijote de la Mancha;Miguel de Cervantes y Saavedra;Světová a česká literatura do konce 18. století;chyba
Epos o Gilgamešovi;;Světová a česká literatura do konce 18. století;chyba
Evžen Oněgin;Alexandr Sergejevič Puškin;Světová a česká literatura 19. století;chyba
F. L. Věk;Alois Jirásek;Světová a česká literatura 19. století;chyba
Farma zvířat;George Orwell;Světová literatura 20. a 21. století;chyba
Faust;Johann Wolfgang Goethe ;Světová a česká literatura 19. století;chyba
Filosofská historie ;Alois Jirásek;Světová a česká literatura 19. století;chyba
Hamlet;William Shakespeare;Světová a česká literatura do konce 18. století;chyba
Harry Potter a kámen mudrců;J. K. Rowlingová;Světová literatura 20. a 21. století;chyba
Havran;Edgar Alan Poe;Světová a česká literatura 19. století;chyba
Hlava XXII;Joseph Heller;Světová literatura 20. a 21. století;chyba
Hobit;J. R. R. Tolkien;Světová literatura 20. a 21. století;chyba
Hra o trůny;G. R. R. Martin;Světová literatura 20. a 21. století;chyba
Hraničářův učeň - Rozvaliny Gorlanu;John Flanagan;Světová literatura 20. a 21. století;chyba
Hvězdy nám nepřály;John Green;Světová literatura 20. a 21. století;chyba
Chrám Matky Boží v Paříži;Victor Hugo;Světová a česká literatura 19. století;chyba
Jak je důležité míti Filipa;Oscar Wilde ;Světová a česká literatura 19. století;chyba
