skola_zkr;skola_nazev;skola_izo
ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283;102578974
ZŠ a MŠ Hronov;Základní škola a Mateřská škola Hronov;102254702
ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816;47463848
ZŠDomky;Základní škola, Trutnov, V Domcích 488;102718881
ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536;47463783
SOŠVolanovská;SOŠ a SOU Trutnov, Volanovská 243;529681
ZŠKomenTrut;Základní škola, Trutnov, Komenského 399;47463724
ZŠČerv.Kost.;ZŠ Červený Kostelec;102254621
ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160;60152885
ZŠPolice;ZŠ Police nad Metují;102254958
ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov;47466928
ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov;49290266
ZŠDubenec;Základní škola Dukelských bojovníků a mateřská škola, Dubenec;102578532
ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov;60154721
ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov;102578371
ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793;102578923
ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151;47463996
ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178;49290649
ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18;102578869
SPŠHradební;SPŠ,SOŠ a SOU,Hradební,HK;15062848
ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560;102578737
VOŠ a SZŠ;VOŠ zdravotnická a Stř. zdravotnická škola;110010264
ZŠBerna;Základní škola a Mateřská škola, Bertartice, okres Trutnov;102590061
SŠinform Dr.Kr.;Střední škola informatiky a služeb, Elišky Krásnohorské 2069, Dvůr Králové nad Labem;110037791
ZŠŠ.Mlý;Základní škola, Špindlerův Mlýn 32, okres Trutnov;102578753
ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130;43462448
ZŠJilemHarracha;ZŠ Jilemnice, Jana Harracha 97;102442886
ZŠJilemKom;Základní škola Jilemnice, Komenského 288;102 442 878
SŠChomutov;Střední škola technická, gastronomická a automobilní, Chomutov, příspěvková organizace;107850079
ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38;47464143
gymn.Pardubice;Sportovní gymnázium Pardubice, Dašická 268, Pardubice;48161012
ZŠBíl.T;Základní škola a Mateřská škola, Bílá Třemešná, okres Trutnov;102578435
ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336;117900729
ZŠNáchKom;ZŠ Náchod, Komenského 425;102254869
ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov;102578672
ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov;102578460
