id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
86,56.40,21,25,0,102.40,True
69,29.10,34,26,0,89.10,True
281,28.50,28,29,0,85.50,True
302,18.00,28,32,2,80.00,True
231,20.70,27,32,0,79.70,True
230,23.40,23,33,0,79.40,True
235,19.50,29,22,0,70.50,True
97,45.00,19,6,0,70.00,True
309,20.70,28,21,0,69.70,True
308,32.40,23,11,0,66.40,True
17,24.90,20,19,0,63.90,True
18,18.90,21,24,0,63.90,True
232,29.70,18,10,0,57.70,True
173,37.50,16,4,0,57.50,True
105,23.40,17,16,0,56.40,True
234,18.30,26,12,0,56.30,True
311,8.70,28,16,o,52.70,True
310,18.90,22,10,0,50.90,True
229,4.80,26,20,0,50.80,True
15,16.80,18,16,0,50.80,True
16,19.20,23,5,0,47.20,True
315,7.50,28,8,0,43.50,True
236,12.90,17,13,0,42.90,True
334,3.90,20,19,0,42.90,True
233,19.50,10,13,0,42.50,True
335,2.40,20,19,0,41.40,True
287,11.70,13,16,0,40.70,True
19,12.00,21,6,0,39.00,True
295,11.70,18,9,0,38.70,True
317,1.50,20,17,0,38.50,True
307,1.20,21,16,0,38.20,False
319,1.20,28,7,0,36.20,False
314,0.00,21,14,0,35.00,False
1,9.60,23,0,0,32.60,False
316,0.00,21,8,0,29.00,False
312,6.60,17,5,0,28.60,False
318,9.30,11,8,0,28.30,False
237,0.00,16,10,0,26.00,False
