id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
70,54.00,44,25,0,123.00,True
92,51.90,26,36,0,113.90,True
250,43.20,35,32,0,110.20,True
201,48.90,31,26,0,105.90,True
225,41.70,27,35,0,103.70,True
152,38.70,35,19,0,92.70,True
213,40.20,31,17,0,88.20,True
288,38.10,30,16,0,84.10,True
208,43.80,24,16,0,83.80,True
129,40.80,35,5,0,80.80,True
176,28.20,28,20,0,76.20,True
190,30.00,23,14,0,67.00,True
27,22.80,23,20,0,65.80,True
90,21.30,27,17,0,65.30,True
243,18.00,26,20,0,64.00,True
73,27.30,21,15,0,63.30,True
253,27.30,24,10,0,61.30,True
274,5.90,20,24,0,59.90,True
34,17.40,25,17,0,59.40,True
305,25.20,19,14,0,58.20,True
128,17.10,17,12,0,46.10,True
222,13.50,13,10,0,36.50,True
