id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
46,49.50,41,37,0,127.50,True
58,51.30,37,38,0,126.30,True
123,42.90,39,38,0,119.90,True
180,59.10,25,32,0,116.10,True
256,42.90,39,34,0,115.90,True
241,51.90,33,30,0,114.90,True
223,45.30,32,37,0,114.30,True
82,48.90,35,29,0,112.90,True
194,38.40,30,40,0,108.40,True
150,51.60,24,27,0,102.60,True
133,40.50,25,33,0,98.50,True
59,44.40,30,23,0,97.40,True
148,35.10,34,28,0,97.10,True
26,39.30,28,26,0,93.30,True
149,33.90,30,29,0,92.90,True
127,41.10,28,19,4,92.10,True
179,30.90,28,33,0,91.90,True
138,41.70,24,26,0,91.70,True
294,36.00,27,28,0,91.00,True
65,31.20,36,16,0,83.20,True
62,31.80,25,25,0,81.80,True
224,31.80,23,26,0,80.80,True
299,41.10,19,18,0,78.10,True
163,36.90,34,6,0,76.90,True
144,21.60,32,23,0,76.60,True
293,29.70,25,19,0,73.70,True
84,34.80,23,15,0,72.80,True
197,42.30,20,10,0,72.30,True
227,18.60,20,33,0,71.60,True
50,28.80,23,16,0,67.80,True
114,30.00,18,13,0,61.00,False
273,15.90,20,24,0,59.90,False
306,25.20,19,14,0,58.20,False
118,29.10,14,14,0,57.10,False
264,27.90,18,9,0,54.90,False
192,19.20,25,9,0,53.20,False
291,13.80,21,13,0,47.80,False
216,19.80,18,9,0,46.80,False
246,18.60,12,13,0,43.60,False
141,12.00,16,11,0,39.00,False
