id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
98,59.10,42,41,0,142.10,True
167,57.00,39,31,0,127.00,True
151,50.10,39,30,0,119.10,True
88,54.90,42,21,0,117.90,True
170,51.30,37,27,0,115.30,True
18,42.90,44,27,0,113.90,True
22,55.80,30,26,0,111.80,True
173,47.70,42,22,0,111.70,True
1,40.80,42,28,0,110.80,True
113,47.70,44,16,0,107.70,True
183,51.60,37,17,0,105.60,True
125,52.50,27,24,0,103.50,True
160,47.40,35,20,0,102.40,True
97,41.70,30,30,0,101.70,True
259,57.00,29,14,0,100.00,True
52,45.90,41,11,0,97.90,True
223,51.60,35,10,0,96.60,True
45,42.30,33,20,0,95.30,True
5,45.90,31,18,0,94.90,True
80,27.90,32,33,0,92.90,True
132,46.80,36,10,0,92.80,True
251,42.60,27,23,0,92.60,True
3,46.80,28,17,0,91.80,True
273,46.20,32,13,0,91.20,True
178,36.60,31,21,0,88.60,True
110,36.00,32,19,0,87.00,True
55,31.80,28,27,0,86.80,True
42,40.50,32,11,0,83.50,True
78,37.20,31,15,0,83.20,True
277,45.90,26,11,0,82.90,True
136,28.80,35,19,0,82.80,False
90,44.40,19,15,0,78.40,False
206,37.80,27,13,0,77.80,False
267,24.30,29,23,0,76.30,False
168,31.80,32,12,0,75.80,False
147,28.20,22,25,0,75.20,False
85,23.40,34,17,0,74.40,False
205,29.10,35,9,0,73.10,False
130,30.00,31,12,0,73.00,False
247,36.00,25,10,0,71.00,False
70,33.00,22,15,0,70.00,False
193,36.90,28,5,0,69.90,False
227,24.30,25,15,0,64.30,False
230,18.00,26,20,0,64.00,False
13,28.80,23,8,0,59.80,False
71,24.30,24,6,0,54.30,False
20,16.80,10,22,0,48.80,False
239,18.00,27,0,0,45.00,False
189,22.50,17,5,0,44.50,False
255,18.30,18,6,0,42.30,False
