id,prospech_zs,prijimacky_cestina,prijimacky_matematika,souteze_zs,body_celkem,prijat
4,54.00,42,35,0,131.00,True
149,60.00,38,33,0,131.00,True
141,58.80,41,27,0,126.80,True
32,54.00,32,30,0,116.00,True
199,52.50,38,24,0,114.50,True
87,57.00,34,20,2,113.00,True
150,47.70,36,28,0,111.70,True
29,52.80,35,21,0,108.80,True
24,49.20,37,20,0,106.20,True
15,50.40,40,14,0,104.40,True
197,45.90,35,23,0,103.90,True
211,47.10,38,18,0,103.10,True
86,37.20,37,21,0,95.20,True
75,51.90,33,10,0,94.90,True
292,47.40,31,14,0,92.40,True
269,40.80,34,15,0,89.80,True
179,43.50,28,16,0,87.50,True
111,36.00,32,19,0,87.00,True
186,33.00,42,10,0,85.00,True
182,40.20,24,19,0,83.20,True
138,35.10,36,11,0,82.10,True
180,32.70,34,13,0,79.70,True
207,37.80,27,13,0,77.80,True
127,43.50,23,11,0,77.50,True
185,42.30,25,10,0,77.30,True
84,40.80,21,15,0,76.80,True
169,31.80,32,12,0,75.80,True
11,34.20,26,15,0,75.20,True
131,30.00,31,12,0,73.00,True
143,27.00,27,16,0,70.00,True
73,33.30,22,13,0,68.30,False
54,24.00,31,13,0,68.00,False
118,20.40,32,13,0,65.40,False
158,24.90,25,15,0,64.90,False
231,18.00,26,20,0,64.00,False
228,31.80,20,7,0,58.80,False
153,21.60,21,12,0,54.60,False
120,18.00,23,13,0,54.00,False
124,27.00,19,8,0,54.00,False
102,29.10,20,4,0,53.10,False
148,21.90,19,11,0,51.90,False
226,22.50,21,7,0,50.50,False
155,23.70,10,14,0,47.70,False
286,6.30,17,10,0,33.30,False
23,26.10,5,1,0,32.10,False
265,7.80,12,6,0,25.80,False
