skola_izo;skola_zkr;skola_nazev
102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
102254702;ZŠ a MŠ Hronov;Základní škola a Mateřská škola Hronov
47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
529681;SOŠVolanovská;SOŠ a SOU Trutnov, Volanovská 243
47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
102254958;ZŠPolice;ZŠ Police nad Metují
47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
102578532;ZŠDubenec;Základní škola Dukelských bojovníků a mateřská škola, Dubenec
60154721;ZŠSchuz;Základní škola Schulzovy sady, Dvůr Králové nad Labem,Školní 1235, okres Trutnov
102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
102578923;ZŠLány;Základní škola Úpice - Lány, Úpice, Palackého 793
47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
15062848;SPŠHradební;SPŠ,SOŠ a SOU,Hradební,HK
102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
110010264;VOŠ a SZŠ;VOŠ zdravotnická a Stř. zdravotnická škola
102590061;ZŠBerna;Základní škola a Mateřská škola, Bertartice, okres Trutnov
110037791;SŠinform Dv.Kr.;Střední škola informatiky a služeb, Elišky Krásnohorské 2069, Dvůr Králové nad Labem
102578753;ZŠŠ.Mlý;Základní škola, Špindlerův Mlýn 32, okres Trutnov
43462448;ZŠHosti;Základní škola Karla Klíče Hostinné, Horská 130
102442886;ZŠJilemHarracha;ZŠ Jilemnice, Jana Harracha 97
102 442 878;ZŠJilemKom;Základní škola Jilemnice, Komenského 288
107850079;SŠChomutov;Střední škola technická, gastronomická a automobilní, Chomutov, příspěvková organizace
47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
48161012;gymn.Pardubice;Sportovní gymnázium Pardubice, Dašická 268, Pardubice
102578435;ZŠBíl.T;Základní škola a Mateřská škola, Bílá Třemešná, okres Trutnov
117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
102578672;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice, okres Trutnov
102578460;ZŠ5.května;Základní škola 5. května, Dvůr Králové nad Labem, 28. října 731, okres Trutnov
60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
108026736;Gymn.+SŠHostinné;Gymnázium a střední škola, Hostinné, Horská 309
102442797;ZŠHorníBranná;Základní škola a Mateřská škola Josefa Šíra, Horní Branná, příspěvková organizace, Horní Branná, č.p. 257
102254907;ZŠHrad.Broumov;Základní škola Hradební, Broumov, Kostelní náměstí 244
60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
102254648;ZŠČes.Skalice;Základní škola, Česká Skalice, Zelená 153
15037789;Gymn.+SOŠÚpice;Městské gymnázium a střední odborná škola Úpice, Úpice, Havlíčkova 812
102177236;ZŠJos.Důl;Základní škola a Mateřská škola Josefův Důl, okres Jablonec nad Nisou, příspěvková organizace, Josefův Důl, Dolní Maxov 208
102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
108026485;ZŠSpec.vz.potř.TU;Základní škola pro žáky se speciálními vzdělávacími potřebami, Trutnov, Mentzlova 1
60154730;ZŠStržDv.Kr.;Základní škola Strž, Dvůr Králové nad Labem, Elišky Krásnohorské 2919
102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
