id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
4,58.95,44,39,83,141.95,True
94,60.00,45,34,79,139.00,True
149,56.85,42,35,77,133.85,True
133,53.40,40,33,73,126.40,True
99,54.90,35,29,64,118.90,True
124,46.50,40,32,72,118.50,True
75,45.45,38,31,69,114.45,True
122,42.90,36,35,71,113.90,True
35,42.45,37,34,71,113.45,True
30,44.55,38,28,66,110.55,True
142,42.00,39,29,68,110.00,True
76,42.45,32,34,66,108.45,True
125,53.40,38,17,55,108.40,True
139,43.20,33,29,62,105.20,True
54,39.60,34,31,65,104.60,True
77,49.35,35,20,55,104.35,True
224,40.95,33,30,63,103.95,True
203,44.55,34,25,59,103.55,True
24,51.60,26,25,51,102.60,True
29,33.30,34,34,68,101.30,True
60,48.45,32,20,52,100.45,True
121,45.00,30,22,52,97.00,True
151,49.65,26,21,47,96.65,True
73,52.50,31,10,41,93.50,True
148,54.90,25,13,38,92.90,True
218,36.45,29,27,56,92.45,True
97,36.60,34,21,55,91.60,True
174,35.55,27,26,53,88.55,True
170,42.90,30,15,45,87.90,True
233,34.05,25,26,51,85.05,True
145,28.05,31,25,56,84.05,False
119,39.00,35,10,45,84.00,False
189,31.80,28,24,52,83.80,False
204,36.75,31,14,45,81.75,False
267,12.15,34,32,66,78.15,False
63,39.30,20,16,36,75.30,False
101,31.05,24,18,42,73.05,False
161,28.95,19,25,44,72.95,False
181,32.10,20,20,40,72.10,False
213,30.00,28,14,42,72.00,False
72,34.20,26,10,36,70.20,False
9,43.95,19,7,26,69.95,False
210,28.95,27,11,38,66.95,False
252,21.00,24,9,33,54.00,False
253,31.05,14,3,17,48.05,False
