prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
e0e3b;f2709;1.EP;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
90128;bf2d9;1.EP;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
294e2;2ba5f;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
3a881;8e180;1.EP;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
92509;4b547;1.EP;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
f4ab0;ac493;1.EP;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
6d74b;df8ac;1.EP;102578753;ZŠŠ.Mlý;Základní škola, Špindlerův Mlýn 32, okres Trutnov
8e84d;c96b6;1.EP;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
547a8;9cbeb;1.EP;102590044;ZŠŽacléř;Základní škola, Žacléř, J. A. Komenského 339
f39df;c11e2;1.EP;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
366cc;5a64a;1.EP;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
6b40c;65de6;1.EP;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
46a1b;55425;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
3de28;9b201;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
76b30;467b8;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
25426;ee044;1.EP;102254958;ZŠPolice;ZŠ Police nad Metují
06631;97d0a;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
23b85;2e987;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
800b9;52eda;1.EP;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
b713e;b9620;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
c6d0c;21783;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
f5e97;9c9a5;1.EP;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
6ef15;b5f45;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
bcc01;0f769;1.EP;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
1673d;0a03f;1.EP;102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
31fa6;61b0b;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
ff8f9;9247b;1.EP;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
dd84c;f3cb2;1.EP;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
33c14;ef4f6;1.EP;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
aef4c;a7a96;1.EP;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
155c8;90196;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
b4423;ef0cf;1.IT;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
b9427;de2f8;1.IT;110029593;DětskýDomZŠ,H.Maršov;Dětský domov ze školou, základní škola a školní jídelna, Horní Maršov
a2d0c;d01bd;1.IT;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
32535;01fcc;1.IT;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
914e8;50ddc;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
a10fc;aee56;1.IT;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
8fa7e;e4f35;1.IT;102578371;ZŠPilní;Základní škola a Mateřská škola, Pilníkov, okres Trutnov
f4e69;1fa29;1.IT;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
6d445;1528e;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
a8760;9e6c3;1.IT;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
38242;e7cc3;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
5cd2b;7de9d;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
41775;8db2f;1.IT;102578753;ZŠŠ.Mlý;Základní škola, Špindlerův Mlýn 32, okres Trutnov
7d7fb;a346b;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
148e2;65b27;1.IT;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
53dad;0110a;1.IT;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
82d02;9e5d1;1.IT;102578974;ZŠMír.V;Základní škola, Vrchlabí, nám. Míru 283
eab2d;8c342;1.IT;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
1be39;07793;1.IT;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
a04ab;8b5ea;1.IT;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
