id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
24,60.00,44,43,87,147.00,True
36,53.40,35,43,78,131.40,True
133,55.95,34,36,70,125.95,True
107,56.10,34,35,69,125.10,True
296,58.95,39,26,65,123.95,True
162,61.30,34,27,61,122.30,True
115,56.25,35,30,65,121.25,True
95,57.15,32,32,64,121.15,True
217,50.40,41,29,70,120.40,True
62,43.05,34,43,77,120.05,True
211,51.60,33,30,63,114.60,True
186,37.50,39,35,74,111.50,True
281,56.85,32,21,53,109.85,True
149,49.95,30,28,58,107.95,True
160,56.85,22,29,51,107.85,True
195,51.60,33,23,56,107.60,True
228,44.40,33,29,62,106.40,True
234,43.95,33,27,60,103.95,True
193,55.35,27,19,46,101.35,True
302,45.00,33,18,51,96.00,True
155,55.95,28,12,40,95.95,True
230,43.05,32,19,51,94.05,True
21,50.40,29,13,42,92.40,True
301,41.85,26,24,50,91.85,True
99,49.95,21,20,41,90.95,True
293,46.80,22,22,44,90.80,True
113,48.45,22,20,42,90.45,True
169,38.85,31,20,51,89.85,True
48,50.85,27,12,39,89.85,True
14,39.60,22,28,50,89.60,False
294,34.65,28,25,53,87.65,False
101,51.45,24,11,35,86.45,False
219,41.10,28,17,45,86.10,False
110,42.30,22,18,40,82.30,False
295,50.55,15,16,31,81.55,False
224,30.75,26,22,48,78.75,False
31,34.65,28,15,43,77.65,False
183,34.95,25,17,42,76.95,False
88,37.95,26,13,39,76.95,False
25,38.10,28,9,37,75.10,False
120,36.45,22,15,37,73.45,False
42,43.05,21,8,29,72.05,False
221,34.95,14,18,32,66.95,False
173,17.10,21,27,48,65.10,False
226,29.10,19,14,33,62.10,False
145,39.00,13,10,23,62.00,False
165,23.85,12,24,36,59.85,False
33,38.40,20,0,20,58.40,False
63,22.95,22,13,35,57.95,False
279,33.15,18,2,20,53.15,False
152,7.80,15,23,38,45.80,False
292,13.95,13,11,24,37.95,False
197,16.95,9,4,13,29.95,False
