id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
2,54.15,38,41,79,133.15,True
4,57.90,39,36,75,132.90,True
154,56.10,37,34,71,127.10,True
39,54.45,39,33,72,126.45,True
223,56.10,38,24,62,118.10,True
40,55.35,33,29,62,117.35,True
122,45.90,29,33,62,107.90,True
312,33.15,34,38,72,105.15,True
75,47.70,26,26,52,99.70,True
313,46.05,34,18,52,98.05,True
175,39.00,26,30,56,95.00,True
67,43.95,24,25,49,92.95,True
109,31.20,22,37,59,90.20,True
148,46.50,18,19,37,83.50,True
217,49.70,20,12,32,81.70,True
261,36.45,22,23,45,81.45,True
81,39.30,18,24,42,81.30,True
30,51.60,17,12,29,80.60,True
222,43.65,12,22,34,77.65,True
233,28.80,18,30,48,76.80,True
282,32.10,23,20,43,75.10,True
20,42.45,23,8,31,73.45,True
265,17.85,31,22,53,70.85,True
88,35.40,20,14,34,69.40,True
153,30.75,17,19,36,66.75,True
99,18.60,26,22,48,66.60,True
76,32.85,17,16,33,65.85,True
317,39.45,23,O,23,62.45,True
330,34.65,22,5,27,61.65,True
188,31.95,14,14,28,59.95,False
258,26.25,12,20,32,58.25,False
266,21.60,16,17,33,54.60,False
199,36.45,14,2,16,52.45,False
65,22.80,15,14,29,51.80,False
314,21.75,20,9,29,50.75,False
160,26.10,14,9,23,49.10,False
197,21.30,13,10,23,44.30,False
264,7.80,10,25,35,42.80,False
38,19.35,10,9,19,38.35,False
319,27.15,7,3,10,37.15,False
