id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
15,57.90,38,37,75,132.90,True
136,49.35,26,50,76,125.35,True
185,46.05,37,37,74,120.05,True
315,36.45,33,48,81,117.45,True
218,58.05,30,28,58,116.05,True
155,43.05,29,36,65,108.05,True
37,41.55,30,36,66,107.55,True
210,38.30,44,24,68,106.30,True
78,57.15,24,18,42,99.15,True
87,34.35,37,27,64,98.35,True
26,42.60,30,25,55,97.60,True
105,33.15,25,37,62,95.15,True
5,55.50,21,18,39,94.50,True
104,39.15,25,25,50,89.15,True
141,43.95,19,22,41,84.95,True
69,38.40,19,27,46,84.40,True
275,38.40,23,20,43,81.40,True
226,47.10,18,16,34,81.10,True
100,27.60,21,21,42,69.60,True
137,32.10,20,17,37,69.10,True
133,28.95,19,21,40,68.95,True
187,31.95,14,14,28,59.95,True
189,30.90,18,11,29,59.90,True
106,28.05,21,9,30,58.05,True
184,32.10,9,14,23,55.10,True
201,32.10,11,6,17,49.10,True
