Reg. č.,Výsledek,2. PPřR,1. PPřR,Průměr ZŠ,Body ZŠ,JPZ MA,JPZ ČJ,Celkem JPZ,Celkem PZ
401936,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.27,1.44,1.355,49.35,34.0,35.0,69.0,118.35
405272,přijat na základě přijímací zkoušky,1.0,1.0,1.0,60.0,36.0,42.0,78.0,138.0
406225,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.13,1.065,58.05,47.0,33.0,80.0,138.05
406244,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,42.0,44.0,86.0,146.0
406260,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.5,1.44,1.47,45.9,19.0,25.0,44.0,89.9
406300,nepřijat pro nedostačující kapacitu oboru,1.79,1.87,1.83,35.1,27.0,32.0,59.0,94.1
407046,přijat na základě přijímací zkoušky,1.14,1.0,1.07,57.9,40.0,38.0,78.0,135.9
407587,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.19,1.095,57.15,29.0,43.0,72.0,129.15
408097,přijat na základě přijímací zkoušky,1.27,1.38,1.325,50.25,18.0,41.0,59.0,109.25
409966,nepřijat pro nedostačující kapacitu oboru,1.5,1.65,1.575,42.75,34.0,28.0,62.0,104.75
410840,přijat na základě přijímací zkoušky,1.43,1.54,1.485,45.45,38.0,33.0,71.0,116.45
410856,přijat na základě přijímací zkoušky,1.06,1.07,1.065,58.05,44.0,39.0,83.0,141.05
410954,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.43,1.46,1.445,46.65,42.0,32.0,74.0,120.65
411334,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.38,1.38,1.38,48.6,20.0,34.0,54.0,102.6
411832,nepřijat pro nedostačující kapacitu oboru,1.18,1.27,1.225,53.25,22.0,29.0,51.0,104.25
412311,přijat na základě přijímací zkoušky,1.14,1.23,1.185,54.45,45.0,46.0,91.0,145.45
414699,přijat na základě přijímací zkoušky,1.14,1.13,1.135,55.95,35.0,38.0,73.0,128.95
417500,nepřijat pro nedostačující kapacitu oboru,2.06,2.0,2.03,29.1,7.0,15.0,22.0,51.1
418030,nepřijat pro nedostačující kapacitu oboru,1.38,1.33,1.355,49.35,16.0,33.0,49.0,98.35
418924,přijat na základě přijímací zkoušky,1.4,1.43,1.415,47.55,37.0,29.0,66.0,113.55
418961,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.07,1.035,58.95,37.0,38.0,75.0,133.95
