Reg. č.,Výsledek,2. PPřR,1. PPřR,Průměr ZŠ,Body ZŠ,JPZ MA,JPZ ČJ,Celkem JPZ,Celkem PZ
401258,nepřijat pro nedostačující kapacitu oboru,1.93,1.6,1.765,37.05,9.0,25.0,34.0,71.05
401936,přijat na základě přijímací zkoušky,1.27,1.44,1.355,49.35,34.0,35.0,69.0,118.35
402141,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.29,1.06,1.175,54.75,39.0,39.0,78.0,132.75
402486,přijat na základě přijímací zkoušky,1.14,1.14,1.14,55.8,33.0,31.0,64.0,119.8
402547,přijat na základě přijímací zkoušky,1.3,1.4,1.35,49.5,23.0,0.0,23.0,72.5
403390,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.47,1.13,1.3,51.0,18.0,32.0,50.0,101.0
403472,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.07,1.035,58.95,42.0,33.0,75.0,133.95
403507,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.44,1.56,1.5,45.0,28.0,33.0,61.0,106.0
404568,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,50.0,49.0,99.0,159.0
405272,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,36.0,42.0,78.0,138.0
406225,přijat na základě přijímací zkoušky,1.0,1.13,1.065,58.05,47.0,33.0,80.0,138.05
406244,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,42.0,44.0,86.0,146.0
406260,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.5,1.44,1.47,45.9,19.0,25.0,44.0,89.9
406549,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.29,1.38,1.335,49.95,35.0,36.0,71.0,120.95
407587,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.19,1.095,57.15,29.0,43.0,72.0,129.15
408113,přijat na základě přijímací zkoušky,1.31,1.22,1.265,52.05,28.0,33.0,61.0,113.05
409629,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.21,1.5,1.355,49.35,43.0,28.0,71.0,120.35
409940,přijat na základě přijímací zkoušky,1.25,1.11,1.18,54.6,20.0,19.0,39.0,93.6
410856,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.06,1.07,1.065,58.05,44.0,39.0,83.0,141.05
411775,nepřijat pro nedostačující kapacitu oboru,2.07,1.92,1.995,30.15,10.0,13.0,23.0,53.15
411778,přijat na základě přijímací zkoušky,1.29,1.23,1.26,52.2,17.0,28.0,45.0,97.2
411832,přijat na základě přijímací zkoušky,1.18,1.27,1.225,53.25,22.0,29.0,51.0,104.25
416471,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.73,1.77,1.75,37.5,23.0,0.0,23.0,60.5
416913,nepřijat pro nedostačující kapacitu oboru,1.94,2.15,2.045,28.65,6.0,0.0,6.0,34.65
417390,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.06,1.07,1.065,58.05,31.0,29.0,60.0,118.05
417479,přijat na základě přijímací zkoušky,1.71,1.33,1.52,44.4,30.0,22.0,52.0,96.4
418924,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.4,1.43,1.415,47.55,37.0,29.0,66.0,113.55
