Reg. č.,Výsledek,2. PPřR,1. PPřR,Průměr ZŠ,Body ZŠ,JPZ MA,JPZ ČJ,Celkem JPZ,Celkem PZ
402524,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.56,1.31,1.435,46.95,23.0,28.0,51.0,97.95
402633,nepřijat pro nedostačující kapacitu oboru,1.71,1.33,1.52,44.4,22.0,21.0,43.0,87.4
403472,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.44,1.56,1.5,45.0,28.0,33.0,61.0,106.0
405178,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.33,1.14,1.215,53.55,39.0,40.0,79.0,132.55
406244,přijat na základě přijímací zkoušky,1.0,1.0,1.0,60.0,42.0,44.0,86.0,146.0
406398,přijat na základě přijímací zkoušky,1.33,1.44,1.385,48.45,34.0,32.0,66.0,114.45
407046,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.14,1.0,1.07,57.9,40.0,38.0,78.0,135.9
407850,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.75,1.56,1.655,40.35,27.0,24.0,51.0,91.35
408227,nepřijat pro nedostačující kapacitu oboru,1.57,1.46,1.515,44.55,24.0,24.0,48.0,92.55
409081,přijat na základě přijímací zkoušky,1.13,1.06,1.095,57.15,36.0,36.0,72.0,129.15
409966,přijat na základě přijímací zkoušky,1.5,1.65,1.575,42.75,34.0,28.0,62.0,104.75
411832,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.18,1.27,1.225,53.25,22.0,29.0,51.0,104.25
415090,nepřijat pro nedostačující kapacitu oboru,2.07,2.19,2.13,26.1,10.0,21.0,31.0,57.1
416466,přijat na základě přijímací zkoušky,1.31,1.24,1.275,51.75,39.0,31.0,70.0,121.75
417479,nepřijat pro nedostačující kapacitu oboru,1.71,1.33,1.52,44.4,30.0,22.0,52.0,96.4
418030,nepřijat pro nedostačující kapacitu oboru,1.38,1.33,1.355,49.35,16.0,33.0,49.0,98.35
420234,přijat na základě přijímací zkoušky,1.19,1.25,1.22,53.4,39.0,41.0,80.0,133.4
422993,přijat na základě přijímací zkoušky,1.64,1.69,1.665,40.05,28.0,34.0,62.0,102.05
423139,přijat na základě přijímací zkoušky,1.47,1.47,1.47,45.9,35.0,34.0,69.0,114.9
423583,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.13,2.07,2.1,27.0,19.0,18.0,37.0,64.0
424157,přijat na základě přijímací zkoušky,1.29,1.31,1.3,51.0,27.0,33.0,60.0,111.0
425511,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.5,1.29,1.395,48.15,17.0,26.0,43.0,91.15
426060,přijat na základě přijímací zkoušky,1.25,1.33,1.29,51.3,35.0,44.0,79.0,130.3
428089,nepřijat pro nedostačující kapacitu oboru,1.79,1.46,1.625,41.25,28.0,22.0,50.0,91.25
431866,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.71,1.81,1.76,37.2,23.0,35.0,58.0,95.2
434765,nepřijat pro nedostačující kapacitu oboru,1.88,1.76,1.82,35.4,14.0,23.0,37.0,72.4
435074,nepřijat pro nedostačující kapacitu oboru,1.67,1.71,1.69,39.3,8.0,23.0,31.0,70.3
435538,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.19,1.22,1.205,53.85,32.0,34.0,66.0,119.85
435583,nepřijat pro nedostačující kapacitu oboru,1.92,2.0,1.96,31.2,37.0,27.0,64.0,95.2
435741,nepřijat pro nedostačující kapacitu oboru,1.94,1.88,1.91,32.7,15.0,15.0,30.0,62.7
435770,přijat na základě přijímací zkoušky,1.0,1.08,1.04,58.8,46.0,37.0,83.0,141.8
438172,nepřijat pro nesplnění podmínek přijímacího řízení,2.31,2.25,2.28,21.6,13.0,9.0,22.0,43.6
438265,nepřijat pro nedostačující kapacitu oboru,1.63,1.41,1.52,44.4,18.0,28.0,46.0,90.4
442110,přijat na základě přijímací zkoušky,1.06,1.13,1.095,57.15,33.0,47.0,80.0,137.15
442241,nepřijat pro nedostačující kapacitu oboru,1.81,1.94,1.875,33.75,12.0,20.0,32.0,65.75
