Reg. č.,Výsledek,2. PPřR,1. PPřR,Průměr ZŠ,Body ZŠ,JPZ MA,JPZ ČJ,Celkem JPZ,Celkem PZ
402524,přijat na základě přijímací zkoušky,1.56,1.31,1.435,46.95,23.00,28.00,51.00,97.95
402633,přijat na základě přijímací zkoušky,1.71,1.33,1.520,44.40,22.00,21.00,43.00,87.40
403472,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.00,1.07,1.035,58.95,42.00,33.00,75.00,133.95
407046,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.14,1.00,1.070,57.90,40.00,38.00,78.00,135.90
407587,přijat na základě přijímací zkoušky,1.00,1.19,1.095,57.15,29.00,43.00,72.00,129.15
407950,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.75,1.56,1.655,40.35,27.00,24.00,51.00,91.35
408113,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.31,1.22,1.265,52.05,28.00,33.00,61.00,113.05
408227,přijat na základě přijímací zkoušky,1.57,1.46,1.515,44.55,24.00,24.00,48.00,92.55
408991,přijat na základě přijímací zkoušky,1.50,1.64,1.570,42.90,13.00,30.00,43.00,85.90
410641,přijat na základě přijímací zkoušky,1.93,2.00,1.965,31.05,16.00,14.00,30.00,61.05
411775,přijat na základě přijímací zkoušky,2.07,1.92,1.995,30.15,10.00,13.00,23.00,53.15
414908,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.00,1.00,1.000,60.00,42.00,33.00,75.00,135.00
419140,přijat na základě přijímací zkoušky,1.07,1.13,1.100,57.00,47.00,42.00,89.00,146.00
419863,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.07,2.15,2.110,26.70,33.00,13.00,46.00,72.70
420234,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.19,1.25,1.220,53.40,39.00,41.00,80.00,133.40
425978,přijat na základě přijímací zkoušky,1.40,1.53,1.465,46.05,20.00,32.00,52.00,98.05
429880,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.07,1.06,1.065,58.05,29.00,41.00,70.00,128.05
430202,přijat na základě přijímací zkoušky,2.13,2.07,2.100,27.00,39.00,29.00,68.00,95.00
431864,přijat na základě přijímací zkoušky,1.47,1.47,1.470,45.90,30.00,31.00,61.00,106.90
432097,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.21,1.07,1.140,55.80,31.00,32.00,63.00,118.80
432388,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.53,1.53,1.530,44.10,7.00,22.00,29.00,73.10
435538,přijat na základě přijímací zkoušky,1.19,1.22,1.205,53.85,32.00,34.00,66.00,119.85
438265,přijat na základě přijímací zkoušky,1.63,1.41,1.520,44.40,18.00,28.00,46.00,90.40
441084,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.38,1.61,1.495,45.15,18.00,16.00,34.00,79.15
441935,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.07,1.13,1.100,57.00,39.00,33.00,72.00,129.00
442597,přijat na základě přijímací zkoušky,1.71,1.27,1.490,45.30,23.00,28.00,51.00,96.30
445327,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.27,1.20,1.235,52.95,32.00,38.00,70.00,122.95
445898,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.31,1.39,1.350,49.50,22.00,13.00,35.00,84.50
448840,přijat na základě přijímací zkoušky,1.57,1.85,1.710,38.70,18.00,17.00,35.00,73.70
449515,přijat na základě přijímací zkoušky,1.81,2.25,2.030,29.10,15.00,0.00,15.00,44.10
451328,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.00,1.00,1.000,60.00,35.00,31.00,66.00,126.00
451770,přijat na základě přijímací zkoušky,1.44,1.44,1.440,46.80,18.00,37.00,55.00,101.80
454620,přijat na základě přijímací zkoušky,1.80,1.73,1.765,37.05,14.00,20.00,34.00,71.05
457135,přijat na základě přijímací zkoušky,2.07,2.00,2.035,28.95,13.00,15.00,28.00,56.95
458165,přijat na základě přijímací zkoušky,1.53,1.50,1.515,44.55,28.00,31.00,59.00,103.55
458566,přijat na základě přijímací zkoušky,1.67,1.93,1.800,36.00,25.00,23.00,48.00,84.00
459963,přijat na základě přijímací zkoušky,1.64,1.63,1.635,40.95,20.00,30.00,50.00,90.95
460316,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.38,1.46,1.420,47.40,34.00,33.00,67.00,114.40
462396,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.14,1.21,1.175,54.75,50.00,44.00,94.00,148.75
462698,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.00,1.07,1.035,58.95,47.00,43.00,90.00,148.95
466488,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.14,1.14,1.140,55.80,44.00,44.00,88.00,143.80
465993,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.00,1.94,1.970,30.90,10.00,20.00,30.00,60.90
472055,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.75,1.82,1.785,36.45,19.00,27.00,46.00,82.45
472865,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.00,1.00,1.000,60.00,50.00,37.00,87.00,147.00
478015,přijat na základě přijímací zkoušky,1.33,1.33,1.330,50.10,23.00,36.00,59.00,109.10
480581,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.57,1.69,1.630,41.10,20.00,35.00,55.00,96.10
483260,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.88,2.00,1.940,31.80,26.00,43.00,69.00,100.80
483752,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.50,1.67,1.585,42.45,18.00,25.00,43.00,85.45
484893,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.47,1.25,1.360,49.20,45.00,40.00,85.00,134.20
485634,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.13,1.31,1.220,53.40,39.00,36.00,75.00,128.40
485654,přijat na základě přijímací zkoušky,1.19,1.06,1.125,56.25,39.00,37.00,76.00,132.25
485898,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,2.00,2.00,2.000,30.00,43.00,34.00,77.00,107.00
491860,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.20,1.19,1.195,54.15,33.00,36.00,69.00,123.15
492620,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.00,1.13,1.065,58.05,40.00,37.00,77.00,135.05
494390,přijat na základě přijímací zkoušky,1.47,1.53,1.500,45.00,26.00,20.00,46.00,91.00
494650,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.75,1.44,1.595,42.15,35.00,17.00,52.00,94.15
495581,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.25,1.24,1.245,52.65,27.00,38.00,65.00,117.65
501279,přijat na základě přijímací zkoušky,1.81,1.70,1.755,37.35,9.00,30.00,39.00,76.35
503206,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.29,1.27,1.280,51.60,29.00,23.00,52.00,103.60
511377,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.81,1.71,1.760,37.20,9.00,15.00,24.00,61.20
511761,přijat na základě přijímací zkoušky,1.19,1.25,1.220,53.40,26.00,35.00,61.00,114.40
