Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
401090;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;33.25;30.0;33.0;63.0;96.25;1.8;1.53;1.67
401469;nepřijat pro nedostačující kapacitu oboru;28.25;12.0;17.0;29.0;57.25;1.6;2.13;1.87
404286;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;42.5;15.0;34.0;49.0;91.5;1.36;1.23;1.3
405688;přijat na základě přijímací zkoušky;50.0;38.0;30.0;68.0;118.0;1.0;1.0;1.0
408066;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;43.5;28.0;20.0;48.0;91.5;1.33;1.19;1.26
408875;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;33.25;25.0;29.0;54.0;87.25;1.67;1.67;1.67
409662;nepřijat pro nesplnění podmínek přijímacího řízení;17.5;7.0;10.0;17.0;34.5;2.31;2.29;2.3
413142;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;33.0;45.0;78.0;128.0;1.0;1.0;1.0
415735;přijat na základě přijímací zkoušky;50.0;41.0;32.0;73.0;123.0;1.0;1.0;1.0
415967;přijat na základě přijímací zkoušky;48.0;21.0;40.0;61.0;109.0;1.07;1.08;1.08
416512;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;38.25;19.0;42.0;61.0;99.25;1.56;1.38;1.47
416795;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;46.75;23.0;38.0;61.0;107.75;1.13;1.13;1.13
420394;přijat na základě přijímací zkoušky;50.0;46.0;43.0;89.0;139.0;1.0;1.0;1.0
422020;přijat na základě přijímací zkoušky;40.75;34.0;27.0;61.0;101.75;1.33;1.4;1.37
425922;přijat na základě přijímací zkoušky;50.0;40.0;39.0;79.0;129.0;1.0;1.0;1.0
427448;přijat na základě přijímací zkoušky;50.0;30.0;37.0;67.0;117.0;1.0;1.0;1.0
427803;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;21.25;22.0;26.0;48.0;69.25;2.43;1.87;2.15
429398;nepřijat pro nesplnění podmínek přijímacího řízení;16.25;12.0;6.0;18.0;34.25;2.33;2.36;2.35
430469;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.0;42.0;40.0;82.0;122.0;1.47;1.33;1.4
430630;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;45.0;21.0;38.0;59.0;104.0;1.13;1.27;1.2
430859;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.75;20.0;32.0;52.0;92.75;1.38;1.35;1.37
431252;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;48.25;34.0;42.0;76.0;124.25;1.0;1.13;1.07
433068;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;31.75;10.0;20.0;30.0;61.75;1.81;1.65;1.73
433858;přijat na základě přijímací zkoušky;34.25;28.0;22.0;50.0;84.25;1.75;1.5;1.63
434227;nepřijat pro nedostačující kapacitu oboru;28.75;17.0;12.0;29.0;57.75;1.76;1.93;1.85
434499;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;39.0;31.0;26.0;57.0;96.0;1.5;1.38;1.44
436412;přijat na základě přijímací zkoušky;42.75;30.0;24.0;54.0;96.75;1.18;1.4;1.29
436507;přijat na základě přijímací zkoušky;39.5;18.0;21.0;39.0;78.5;1.53;1.31;1.42
437024;přijat na základě přijímací zkoušky;48.5;27.0;35.0;62.0;110.5;1.12;1.0;1.06
439466;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.25;36.0;44.0;80.0;127.25;1.14;1.07;1.11
439656;přijat na základě přijímací zkoušky;31.75;23.0;31.0;54.0;85.75;1.73;1.73;1.73
439787;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;44.0;30.0;24.0;54.0;98.0;1.2;1.27;1.24
439790;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;35.5;34.0;35.0;69.0;104.5;1.63;1.53;1.58
440432;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;24.0;12.0;13.0;25.0;49.0;2.27;1.8;2.04
442854;nepřijat pro nedostačující kapacitu oboru;27.5;7.0;10.0;17.0;44.5;2.0;1.79;1.9
443051;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;39.0;20.0;38.0;58.0;97.0;1.38;1.5;1.44
