Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
401090;přijat na základě přijímací zkoušky;33.25;30.0;33.0;63.0;96.25;1.8;1.53;1.67
405688;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;38.0;30.0;68.0;118.0;1.0;1.0;1.0
408066;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;43.5;28.0;20.0;48.0;91.5;1.33;1.19;1.26
408875;přijat na základě přijímací zkoušky;33.25;25.0;29.0;54.0;87.25;1.67;1.67;1.67
413142;přijat na základě přijímací zkoušky;50.0;33.0;45.0;78.0;128.0;1.0;1.0;1.0
415735;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;41.0;32.0;73.0;123.0;1.0;1.0;1.0
415967;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;48.0;21.0;40.0;61.0;109.0;1.07;1.08;1.08
418956;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.25;30.0;37.0;67.0;114.25;1.14;1.08;1.11
420394;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;46.0;43.0;89.0;139.0;1.0;1.0;1.0
420597;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;36.75;13.0;28.0;41.0;77.75;1.5;1.56;1.53
422020;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.75;34.0;27.0;61.0;101.75;1.33;1.4;1.37
425595;nepřijat pro nedostačující kapacitu oboru;25.5;8.0;21.0;29.0;54.5;2.19;1.76;1.98
427448;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;30.0;37.0;67.0;117.0;1.0;1.0;1.0
429398;nepřijat pro nesplnění podmínek přijímacího řízení;16.25;12.0;6.0;18.0;34.25;2.33;2.36;2.35
430469;přijat na základě přijímací zkoušky;40.0;42.0;40.0;82.0;122.0;1.47;1.33;1.4
430630;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;45.0;21.0;38.0;59.0;104.0;1.13;1.27;1.2
432433;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;49.0;29.0;42.0;71.0;120.0;1.07;1.0;1.04
432746;přijat na základě přijímací zkoušky;41.0;29.0;33.0;62.0;103.0;1.36;1.36;1.36
