Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
401946;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;48.25;35.0;40.0;75.0;123.25;1.0;1.13;1.07
403220;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;35.75;26.0;35.0;61.0;96.75;1.53;1.6;1.57
405971;přijat na základě přijímací zkoušky;33.0;8.0;21.0;29.0;62.0;1.71;1.65;1.68
408658;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;36.5;23.0;33.0;56.0;92.5;1.63;1.44;1.54
410967;přijat na základě přijímací zkoušky;39.5;28.0;30.0;58.0;97.5;1.36;1.47;1.42
418956;přijat na základě přijímací zkoušky;47.25;30.0;37.0;67.0;114.25;1.14;1.08;1.11
422020;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.75;34.0;27.0;61.0;101.75;1.33;1.4;1.37
423107;přijat na základě přijímací zkoušky;46.0;23.0;26.0;49.0;95.0;1.13;1.19;1.16
424980;přijat na základě přijímací zkoušky;39.75;19.0;34.0;53.0;92.75;1.44;1.38;1.41
425922;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;40.0;39.0;79.0;129.0;1.0;1.0;1.0
426025;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;45.0;33.0;37.0;70.0;115.0;1.33;1.07;1.2
429737;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;28.0;10.0;31.0;41.0;69.0;1.88;1.88;1.88
431252;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;48.25;34.0;42.0;76.0;124.25;1.0;1.13;1.07
433057;přijat na základě přijímací zkoušky;47.75;20.0;30.0;50.0;97.75;1.06;1.12;1.09
433927;přijat na základě přijímací zkoušky;45.25;27.0;36.0;63.0;108.25;1.19;1.18;1.19
433992;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;49.25;20.0;36.0;56.0;105.25;1.0;1.06;1.03
435455;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.25;36.0;44.0;80.0;127.25;1.0;1.21;1.11
435733;přijat na základě přijímací zkoušky;42.0;16.0;21.0;37.0;79.0;1.13;1.5;1.32
439380;přijat na základě přijímací zkoušky;38.25;26.0;32.0;58.0;96.25;1.43;1.5;1.47
440417;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;37.75;12.0;24.0;36.0;73.75;1.56;1.41;1.49
440432;přijat na základě přijímací zkoušky;24.0;12.0;13.0;25.0;49.0;2.27;1.8;2.04
442854;nepřijat pro nedostačující kapacitu oboru;27.5;7.0;10.0;17.0;44.5;2.0;1.79;1.9
444478;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;36.75;13.0;19.0;32.0;68.75;1.47;1.59;1.53
444488;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;33.25;22.0;33.0;55.0;88.25;1.75;1.59;1.67
446202;přijat na základě přijímací zkoušky;32.5;12.0;31.0;43.0;75.5;1.69;1.71;1.7
446369;přijat na základě přijímací zkoušky;16.75;13.0;19.0;32.0;48.75;2.53;2.13;2.33
446374;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;42.0;46.0;88.0;138.0;1.0;1.0;1.0
452554;přijat na základě přijímací zkoušky;19.75;16.0;26.0;42.0;61.75;2.13;2.29;2.21
452758;přijat na základě přijímací zkoušky;42.75;9.0;33.0;42.0;84.75;1.25;1.33;1.29
453029;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;21.0;11.0;18.0;29.0;50.0;2.19;2.12;2.16
453091;přijat na základě přijímací zkoušky;48.25;35.0;38.0;73.0;121.25;1.13;1.0;1.07
454346;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;35.75;13.0;30.0;43.0;78.75;1.53;1.6;1.57
455018;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;46.75;22.0;27.0;49.0;95.75;1.13;1.12;1.13
456105;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;37.75;32.0;14.0;46.0;83.75;1.5;1.47;1.49
458272;přijat na základě přijímací zkoušky;35.25;12.0;21.0;33.0;68.25;1.76;1.41;1.59
459742;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;33.75;31.0;29.0;60.0;93.75;1.71;1.59;1.65
460960;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;39.0;17.0;15.0;32.0;71.0;1.41;1.47;1.44
465204;přijat na základě přijímací zkoušky;38.75;10.0;25.0;35.0;73.75;1.56;1.33;1.45
468165;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;48.5;30.0;42.0;72.0;120.5;1.06;1.06;1.06
468245;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;34.0;13.0;30.0;43.0;77.0;1.56;1.71;1.64
473226;přijat na základě přijímací zkoušky;42.5;26.0;32.0;58.0;100.5;1.25;1.35;1.3
473650;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;26.5;18.0;24.0;42.0;68.5;1.75;2.12;1.94
473809;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.25;43.0;41.0;84.0;131.25;1.14;1.07;1.11
479656;přijat na základě přijímací zkoušky;40.5;28.0;22.0;50.0;90.5;1.44;1.31;1.38
480554;přijat na základě přijímací zkoušky;24.75;18.0;19.0;37.0;61.75;2.2;1.81;2.01
481746;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;34.0;19.0;28.0;47.0;81.0;1.5;1.77;1.64
483024;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;46.0;23.0;30.0;53.0;99.0;1.18;1.13;1.16
489494;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;35.75;26.0;25.0;51.0;86.75;1.5;1.64;1.57
489575;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;34.75;9.0;32.0;41.0;75.75;1.56;1.65;1.61
489946;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;31.0;40.0;37.0;77.0;108.0;1.81;1.71;1.76
492353;přijat na základě přijímací zkoušky;45.5;37.0;46.0;83.0;128.5;1.18;1.18;1.18
496073;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.0;14.0;27.0;41.0;81.0;1.36;1.43;1.4
499120;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.75;44.0;36.0;80.0;127.75;1.12;1.06;1.09
