Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
400931;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;34.75;24.0;30.0;54.0;88.75;1.53;1.69;1.61
401312;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;41.0;35.0;76.0;126.0;1.0;1.0;1.0
405107;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;42.25;25.0;36.0;61.0;103.25;1.29;1.33;1.31
409190;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;27.5;29.0;10.0;39.0;66.5;2.0;1.8;1.9
409662;nepřijat pro nesplnění podmínek přijímacího řízení;17.5;7.0;10.0;17.0;34.5;2.31;2.29;2.3
415735;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;41.0;32.0;73.0;123.0;1.0;1.0;1.0
417045;přijat na základě přijímací zkoušky;24.25;10.0;17.0;27.0;51.25;2.06;2.0;2.03
420394;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;46.0;43.0;89.0;139.0;1.0;1.0;1.0
421760;přijat na základě přijímací zkoušky;35.5;23.0;31.0;54.0;89.5;1.56;1.6;1.58
422645;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;32.75;20.0;15.0;35.0;67.75;1.69;1.69;1.69
425922;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;40.0;39.0;79.0;129.0;1.0;1.0;1.0
429454;přijat na základě přijímací zkoušky;50.0;24.0;45.0;69.0;119.0;1.0;1.0;1.0
431252;přijat na základě přijímací zkoušky;48.25;34.0;42.0;76.0;124.25;1.0;1.13;1.07
433057;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.75;20.0;30.0;50.0;97.75;1.06;1.12;1.09
433352;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;37.75;26.0;26.0;52.0;89.75;1.5;1.47;1.49
433927;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;45.25;27.0;36.0;63.0;108.25;1.19;1.18;1.19
434210;přijat na základě přijímací zkoušky;45.75;38.0;36.0;74.0;119.75;1.13;1.2;1.17
434227;přijat na základě přijímací zkoušky;28.75;17.0;12.0;29.0;57.75;1.76;1.93;1.85
434499;přijat na základě přijímací zkoušky;39.0;31.0;26.0;57.0;96.0;1.5;1.38;1.44
436507;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;39.5;18.0;21.0;39.0;78.5;1.53;1.31;1.42
437891;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;37.5;13.0;23.0;36.0;73.5;1.56;1.44;1.5
438782;přijat na základě přijímací zkoušky;43.75;21.0;28.0;49.0;92.75;1.25;1.24;1.25
439029;přijat na základě přijímací zkoušky;45.25;19.0;34.0;53.0;98.25;1.25;1.13;1.19
439380;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;38.25;26.0;32.0;58.0;96.25;1.43;1.5;1.47
439466;přijat na základě přijímací zkoušky;47.25;36.0;44.0;80.0;127.25;1.14;1.07;1.11
439929;přijat na základě přijímací zkoušky;34.0;24.0;21.0;45.0;79.0;1.64;1.63;1.64
440417;přijat na základě přijímací zkoušky;37.75;12.0;24.0;36.0;73.75;1.56;1.41;1.49
444948;přijat na základě přijímací zkoušky;40.25;13.0;25.0;38.0;78.25;1.24;1.53;1.39
445200;přijat na základě přijímací zkoušky;23.0;14.0;29.0;43.0;66.0;1.94;2.21;2.08
